Script: resnet34_corn_afad.py
PyTorch version: 1.11.0+cu102
Device: cuda:1
Learning rate: 0.0005
Batch size: 16

Epoch: 002/050 | Batch 1900/2884 | Loss: 0.3493
Epoch: 002/050 | Batch 1950/2884 | Loss: 0.3080
Epoch: 002/050 | Batch 2000/2884 | Loss: 0.3389
Epoch: 002/050 | Batch 2050/2884 | Loss: 0.3557
Epoch: 002/050 | Batch 2100/2884 | Loss: 0.3332
Epoch: 002/050 | Batch 2150/2884 | Loss: 0.3491
Epoch: 002/050 | Batch 2200/2884 | Loss: 0.3000
Epoch: 002/050 | Batch 2250/2884 | Loss: 0.2808
Epoch: 002/050 | Batch 2300/2884 | Loss: 0.4181
Epoch: 002/050 | Batch 2350/2884 | Loss: 0.2927
Epoch: 002/050 | Batch 2400/2884 | Loss: 0.4193
Epoch: 002/050 | Batch 2450/2884 | Loss: 0.3464
Epoch: 002/050 | Batch 2500/2884 | Loss: 0.3438
Epoch: 002/050 | Batch 2550/2884 | Loss: 0.4714
Epoch: 002/050 | Batch 2600/2884 | Loss: 0.4089
Epoch: 002/050 | Batch 2650/2884 | Loss: 0.3760
Epoch: 002/050 | Batch 2700/2884 | Loss: 0.4243
Epoch: 002/050 | Batch 2750/2884 | Loss: 0.3601
Epoch: 002/050 | Batch 2800/2884 | Loss: 0.3104
Epoch: 002/050 | Batch 2850/2884 | Loss: 0.3339
MAE Current Valid: 2.98 Ep. 2 | Best Valid: 2.98 Ep. 2
Time elapsed: 4.47 min
Epoch: 003/050 | Batch 0000/2884 | Loss: 0.3209
Epoch: 003/050 | Batch 0050/2884 | Loss: 0.3569
Epoch: 003/050 | Batch 0100/2884 | Loss: 0.4394
Epoch: 003/050 | Batch 0150/2884 | Loss: 0.4606
Epoch: 003/050 | Batch 0200/2884 | Loss: 0.3624
Epoch: 003/050 | Batch 0250/2884 | Loss: 0.3518
Epoch: 003/050 | Batch 0300/2884 | Loss: 0.4170
Epoch: 003/050 | Batch 0350/2884 | Loss: 0.3419
